,mes,estrato1,sex,age,p6426,relab,hoursWorkUsual,ingtot,fweight,maxEducLevel,college,regSalud,pea,formal,cuentaPropia,microEmpresa,sizeFirm
0,1,2,0,29,,,,934594,255,6.0,1,2.0,0,,0,,
1,1,2,1,36,166.0,2.0,45.0,1840833,255,6.0,1,2.0,1,1.0,0,0.0,5.0
4,1,2,0,32,,,,934594,429,5.0,0,1.0,0,,0,,
6,1,2,1,18,,,,934594,194,7.0,0,1.0,0,,0,,
8,1,2,1,51,12.0,1.0,48.0,1878973,194,7.0,0,1.0,1,1.0,0,0.0,3.0
13,1,2,1,45,15.0,1.0,56.0,883357,243,4.0,0,1.0,1,1.0,0,1.0,2.0
15,1,2,1,61,120.0,1.0,40.0,1200000,230,3.0,0,3.0,1,0.0,0,0.0,4.0
16,1,2,0,49,,,,934594,230,1.0,0,3.0,0,,0,,
17,1,2,1,68,,,,1000000,234,7.0,0,1.0,0,,0,,
18,1,2,0,67,,,,981000,234,7.0,0,1.0,0,,0,,
20,1,2,1,35,,,,1000000,342,7.0,0,1.0,0,,0,,
21,1,2,0,35,24.0,2.0,48.0,1941500,342,7.0,0,2.0,1,1.0,0,0.0,5.0
22,1,2,0,35,36.0,1.0,40.0,1083000,352,6.0,1,1.0,1,1.0,0,0.0,5.0
25,1,2,1,39,94.0,1.0,44.0,1716333,352,7.0,0,1.0,1,1.0,0,0.0,5.0
26,1,2,0,77,,,,500000,254,5.0,0,1.0,0,,0,,
29,1,2,0,54,,,,934594,255,7.0,0,3.0,0,,0,,
30,1,2,1,29,6.0,4.0,40.0,1000000,255,7.0,0,,1,0.0,1,1.0,1.0
32,1,2,0,25,,,,934594,429,7.0,0,1.0,0,,0,,
33,1,2,1,29,24.0,1.0,54.0,779000,429,6.0,1,1.0,1,1.0,0,1.0,2.0
37,1,2,0,44,6.0,4.0,42.0,300000,205,5.0,0,,1,0.0,1,1.0,1.0
38,1,2,1,31,24.0,1.0,55.0,2121000,174,6.0,1,1.0,1,1.0,0,0.0,5.0
39,1,2,1,57,,,,1400000,174,6.0,1,1.0,0,,0,,
40,1,2,0,53,,,,934594,174,4.0,0,1.0,0,,0,,
42,1,2,0,18,18.0,1.0,84.0,250000,174,6.0,1,1.0,1,0.0,0,1.0,2.0
43,1,2,1,55,2.0,5.0,48.0,900000,239,6.0,1,3.0,1,0.0,0,1.0,2.0
44,1,2,0,71,,,,649191,254,4.0,0,1.0,0,,0,,
48,1,2,0,56,30.0,1.0,48.0,820857,348,4.0,0,1.0,1,1.0,0,0.0,5.0
50,1,2,0,50,,,,50000,243,3.0,0,3.0,0,,0,,
51,1,2,1,23,51.0,1.0,40.0,1226333,243,7.0,0,1.0,1,1.0,0,0.0,5.0
52,1,2,1,30,8.0,1.0,54.0,1237806,243,6.0,1,1.0,1,1.0,0,0.0,3.0
53,1,2,0,50,72.0,4.0,48.0,600000,255,7.0,0,1.0,1,0.0,1,1.0,1.0
54,1,2,1,28,24.0,1.0,48.0,949806,255,7.0,0,1.0,1,1.0,0,0.0,5.0
55,1,2,0,38,,,,934594,242,4.0,0,3.0,0,,0,,
56,1,2,0,54,120.0,4.0,66.0,1500000,242,5.0,0,3.0,1,0.0,1,1.0,2.0
57,1,2,0,56,,,,100000,259,5.0,0,3.0,0,,0,,
