,mes,estrato1,sex,age,p6426,relab,hoursWorkUsual,fweight,maxEducLevel,college,regSalud,pea,formal,microEmpresa,sizeFirm,y_salary_m_hu
1,1,2,1,36,166.0,2.0,45.0,255,6.0,1,2.0,1,1.0,0.0,5.0,6740
8,1,2,1,51,12.0,1.0,48.0,194,7.0,0,1.0,1,1.0,0.0,3.0,5833
13,1,2,1,45,15.0,1.0,56.0,243,4.0,0,1.0,1,1.0,1.0,2.0,3073
15,1,2,1,61,120.0,1.0,40.0,230,3.0,0,3.0,1,0.0,0.0,4.0,4083
21,1,2,0,35,24.0,2.0,48.0,342,7.0,0,2.0,1,1.0,0.0,5.0,8263
22,1,2,0,35,36.0,1.0,40.0,352,6.0,1,1.0,1,1.0,0.0,5.0,5541
25,1,2,1,39,94.0,1.0,44.0,352,7.0,0,1.0,1,1.0,0.0,5.0,7689
33,1,2,1,29,24.0,1.0,54.0,429,6.0,1,1.0,1,1.0,1.0,2.0,3240
48,1,2,0,56,30.0,1.0,48.0,348,4.0,0,1.0,1,1.0,0.0,5.0,3586
51,1,2,1,23,51.0,1.0,40.0,243,7.0,0,1.0,1,1.0,0.0,5.0,4303
52,1,2,1,30,8.0,1.0,54.0,243,6.0,1,1.0,1,1.0,0.0,3.0,3456
54,1,2,1,28,24.0,1.0,48.0,255,7.0,0,1.0,1,1.0,0.0,5.0,3888
58,1,2,1,36,36.0,1.0,16.0,259,6.0,1,3.0,1,0.0,1.0,2.0,4375
61,1,2,0,33,24.0,1.0,48.0,201,7.0,0,1.0,1,1.0,0.0,3.0,7291
64,1,2,1,38,96.0,1.0,48.0,201,6.0,1,1.0,1,1.0,0.0,5.0,3586
72,1,2,0,51,72.0,1.0,45.0,243,6.0,1,1.0,1,1.0,0.0,4.0,5185
76,1,2,1,43,24.0,1.0,48.0,145,7.0,0,1.0,1,1.0,0.0,5.0,17013
83,1,2,0,41,48.0,2.0,40.0,254,6.0,1,2.0,1,1.0,0.0,5.0,8166
86,1,2,0,31,24.0,1.0,48.0,288,6.0,1,1.0,1,1.0,0.0,4.0,3586
87,1,2,1,36,156.0,1.0,48.0,288,5.0,0,1.0,1,1.0,0.0,4.0,3586
94,1,2,0,50,108.0,1.0,48.0,235,6.0,1,1.0,1,1.0,0.0,5.0,3586
95,1,2,0,42,12.0,3.0,48.0,331,6.0,1,1.0,1,1.0,1.0,1.0,4375
97,1,2,1,45,70.0,1.0,45.0,331,4.0,0,1.0,1,1.0,0.0,3.0,7777
98,1,2,1,20,4.0,1.0,60.0,331,7.0,0,1.0,1,1.0,0.0,5.0,3056
99,1,2,1,49,36.0,1.0,48.0,263,6.0,1,1.0,1,1.0,0.0,4.0,5833
105,1,2,1,27,12.0,1.0,42.0,255,7.0,0,1.0,1,1.0,0.0,5.0,6666
107,1,2,0,24,12.0,1.0,40.0,132,7.0,0,1.0,1,1.0,0.0,4.0,13416
108,1,2,0,47,3.0,1.0,84.0,132,7.0,0,1.0,1,1.0,0.0,5.0,4722
112,1,3,1,21,1.0,1.0,15.0,235,7.0,0,3.0,1,0.0,0.0,3.0,5444
114,1,2,1,29,18.0,1.0,48.0,263,6.0,1,1.0,1,0.0,1.0,2.0,3586
119,1,2,1,35,38.0,1.0,56.0,250,4.0,0,1.0,1,1.0,0.0,5.0,5000
